step,episode,reward,done,action,state0,state1,state2,state3,state4,state5,state6,state7
0,0,0.6603471209097915,False,3,-0.007293701171875,1.418923020362854,-0.7387961149215698,0.35565754771232605,0.00845845602452755,0.16734842956066132,0.0,0.0
1,0,0.7308284631141089,False,3,-0.014509486965835094,1.4263501167297363,-0.7279402613639832,0.3300495147705078,0.014750930480659008,0.12586131691932678,0.0,0.0
2,0,0.7697789161343007,False,3,-0.021651457995176315,1.433190107345581,-0.7186744213104248,0.30394935607910156,0.019174721091985703,0.08848392218351364,0.0,0.0
3,0,1.4017170989675958,False,3,-0.028730392456054688,1.4394413232803345,-0.7107481956481934,0.27779099345207214,0.02200297825038433,0.05657024309039116,0.0,0.0
4,0,1.343352998280751,False,3,-0.035713862627744675,1.4450925588607788,-0.6987890005111694,0.25115966796875,0.022431496530771255,0.008571242913603783,0.0,0.0
5,0,1.3079793137603712,False,3,-0.042623139917850494,1.4501385688781738,-0.6894647479057312,0.2242862731218338,0.02099326066672802,-0.028767457231879234,0.0,0.0
6,0,1.5751463623684299,False,3,-0.04947156831622124,1.454587697982788,-0.6818444728851318,0.19778040051460266,0.01802780292928219,-0.05931485444307327,0.0,0.0
7,0,-0.46915994791976234,False,1,-0.056250572204589844,1.458433747291565,-0.6731393933296204,0.17098645865917206,0.013320541940629482,-0.0941537544131279,0.0,0.0
8,0,-0.5445379058703554,False,1,-0.06310777366161346,1.4616899490356445,-0.682945191860199,0.14473825693130493,0.010580949485301971,-0.05479675531387329,0.0,0.0
9,0,1.4022360217170171,False,3,-0.07003240287303925,1.4643365144729614,-0.6914070248603821,0.11763015389442444,0.009539901278913021,-0.020822923630475998,0.0,0.0
10,0,-0.8837503182840567,False,1,-0.07687883079051971,1.466380000114441,-0.6816128492355347,0.0908394306898117,0.006536416243761778,-0.06007513403892517,0.0,0.0
11,0,1.4856285741287263,False,3,-0.08381032943725586,1.4678170680999756,-0.692282497882843,0.06387884169816971,0.00567594962194562,-0.01721072383224964,0.0,0.0
12,0,-0.8149857968674599,False,1,-0.09065141528844833,1.4686530828475952,-0.680946946144104,0.03715933859348297,0.0025426882784813643,-0.06267108023166656,0.0,0.0
13,0,1.0685365117921901,False,3,-0.09756708145141602,1.4688929319381714,-0.6903007626533508,0.010660620406270027,0.0012879854766651988,-0.025096243247389793,0.0,0.0
14,0,-1.2867277459228024,False,1,-0.10438432544469833,1.468533992767334,-0.6779449582099915,-0.015954114496707916,-0.002443520585075021,-0.07463715225458145,0.0,0.0
15,0,0.6630996601737718,False,3,-0.11128292232751846,1.4675787687301636,-0.6881579756736755,-0.04246596619486809,-0.00412378553301096,-0.03360816463828087,0.0,0.0
16,0,-1.3689930797431475,False,1,-0.11808405071496964,1.4660344123840332,-0.6759398579597473,-0.06865283101797104,-0.008252041414380074,-0.08257264643907547,0.0,0.0
17,0,-1.3787731059036605,False,1,-0.12496213614940643,1.4638903141021729,-0.6855942606925964,-0.0953017994761467,-0.010441039688885212,-0.04378408193588257,0.0,0.0
18,0,0.5187025870963293,False,3,-0.131934255361557,1.4611468315124512,-0.6973942518234253,-0.12192833423614502,-0.010265371762216091,0.0035137287341058254,0.0,0.0
19,0,-0.4658247321519866,False,0,-0.1388276070356369,1.4578043222427368,-0.6875,-0.14856930077075958,-0.012072746641933918,-0.03615082427859306,0.0,0.0
20,0,-0.5039708642301832,False,0,-0.14572086930274963,1.4538618326187134,-0.6874933242797852,-0.1752385050058365,-0.013878542929887772,-0.03611927479505539,0.0,0.0
21,0,-0.539451560904979,False,0,-0.152614027261734,1.4493193626403809,-0.6874874830245972,-0.20190763473510742,-0.015684491023421288,-0.03612222522497177,0.0,0.0
22,0,-0.5719674445109035,False,0,-0.15950718522071838,1.4441769123077393,-0.6874825954437256,-0.22857676446437836,-0.01749015413224697,-0.03611690551042557,0.0,0.0
23,0,-0.6015377460372235,False,0,-0.1664002388715744,1.4384342432022095,-0.6874774694442749,-0.2552459239959717,-0.019295567646622658,-0.036111366003751755,0.0,0.0
